FIGHTER,UFC_URL,HEIGHT
Danny Abbadi,http://ufcstats.com/fighter-details/15df64c02b6b0fde,Not Fighting
David Abbott,http://ufcstats.com/fighter-details/b361180739bed4b0,
Papy Abedi,http://ufcstats.com/fighter-details/c0ed7b208197e8de,Not Fighting
Ricardo Abreu,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,Retired
Scott Adams,http://ufcstats.com/fighter-details/2620f3eb21c79614,Not Fighting
Sam Adkins,http://ufcstats.com/fighter-details/0e9869d712e81f8f,Not Fighting
Nick Agallar,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,Not Fighting
Marcelo Aguiar,http://ufcstats.com/fighter-details/44aa652b181bcf68,
Razak Al-Hassan,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,Not Fighting
Wes Albritton,http://ufcstats.com/fighter-details/184b955181bdef52,Not Fighting
Alfonso Alcarez,http://ufcstats.com/fighter-details/1e38bba6738b7b10,Not Fighting
Gilbert Aldana,http://ufcstats.com/fighter-details/d26934530dc5b248,Not Fighting
Royce Alger,http://ufcstats.com/fighter-details/669a3cb6e394f515,Not Fighting
George Allen,http://ufcstats.com/fighter-details/1e13936d708bcff7,
Ericka Almeida,http://ufcstats.com/fighter-details/91186547a7f3f758,Not Fighting
Sean Alvarez,http://ufcstats.com/fighter-details/e741536153227386,Not Fighting
Amilcar Alves,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,
Matt Andersen,http://ufcstats.com/fighter-details/cad24459b28592ca,Not Fighting
Andy Anderson,http://ufcstats.com/fighter-details/cad24459b28592ca,Retired
Lowell Anderson,http://ufcstats.com/fighter-details/cad24459b28592ca,Not Fighting
Alex Andrade,http://ufcstats.com/fighter-details/1562b12763cc8d67,Not Fighting
Jermaine Andre,http://ufcstats.com/fighter-details/20821819c401ced8,Not Fighting
Reese Andy,http://ufcstats.com/fighter-details/9199e0735b83dd32,Not Fighting
Yoji Anjo,http://ufcstats.com/fighter-details/e06fd1260ac865a7,Not Fighting
Azunna Anyanwu,http://ufcstats.com/fighter-details/78d48d3874dacafd,
Romie Aram,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,Not Fighting
Cesar Arzamendia,http://ufcstats.com/fighter-details/64d47ef881a437a4,Not Fighting
Khusein Askhabov,http://ufcstats.com/fighter-details/5c10da56d712ac9c,Not Fighting
Ibo Aslan,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,Active
Pat Audinwood,http://ufcstats.com/fighter-details/196ed28337adc630,Not Fighting
Chris Avila,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Niklas Backstrom,,Not Fighting
Izabela Badurek,http://ufcstats.com/fighter-details/c0ed7b208197e8de,Not Fighting
Mehdi Baghdad,,Not Fighting
Scott Baker,http://ufcstats.com/fighter-details/2620f3eb21c79614,Not Fighting
Marcin Bandel,http://ufcstats.com/fighter-details/d53482bef23235ba,Not Fighting
David Baron,http://ufcstats.com/fighter-details/b361180739bed4b0,Not Fighting
Dan Barrera,http://ufcstats.com/fighter-details/e4ba58725825412d,Not Fighting
Carlos Barreto,,
Alexandre Barros,http://ufcstats.com/fighter-details/20821819c401ced8,Not Fighting
Dean Barry,,Not Fighting
Stephen Bass,,Not Fighting
Shayna Baszler,,Not Fighting
Michel Batista,http://ufcstats.com/fighter-details/01c9e4013afce141,Not Fighting
Dave Beneteau,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Not Fighting
Steve Berger,,Not Fighting
Keith Berish,,Not Fighting
Dave Berry,,Not Fighting
Dieusel Berto,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,Not Fighting
Allen Berube,http://ufcstats.com/fighter-details/1e13936d708bcff7,Not Fighting
Scott Bessac,http://ufcstats.com/fighter-details/2620f3eb21c79614,Not Fighting
Amaury Bitetti,,Not Fighting
Jason Black,,Not Fighting
Tom Blackledge,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Not Fighting
Byron Bloodworth,,Not Fighting
Dan Bobish,http://ufcstats.com/fighter-details/e4ba58725825412d,
Jerry Bohlander,http://ufcstats.com/fighter-details/cad24459b28592ca,Not Fighting
Jesse Bongfeldt,,Not Fighting
Marcus Bossett,http://ufcstats.com/fighter-details/04643fd03d9159cc,Not Fighting
Tai Bowden,,Not Fighting
Melton Bowen,,Not Fighting
Paul Bradley,,Released
Ebenezer Fontes Braga,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,
Joe Brammer,,Not Fighting
Chris Brennan,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Aaron Brink,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Not Fighting
Todd Brown,,Not Fighting
Humberto Brown Morrison,,
Junie Browning,,Not Fighting
Jules Bruchez,,Not Fighting
Steve Bruno,http://ufcstats.com/fighter-details/ff222167cce02919,Not Fighting
Fernando Bruno,http://ufcstats.com/fighter-details/17615148dd4be6f6,
Josh Bryant,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Mikey Burnett,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Not Fighting
Nah-Shon Burrell,,Not Fighting
Bubba Bush,,Not Fighting
Murilo Bustamante,,Not Fighting
Todd Butler,,Not Fighting
Steve Byrnes,,Not Fighting
John Campetella,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Wagner Campos,,Not Fighting
Asbel Cancio,http://ufcstats.com/fighter-details/1c5879330d42255f,Not Fighting
Frank Caracci,,Not Fighting
Rafael Carino,http://ufcstats.com/fighter-details/029afd138865d20a,Not Fighting
Cain Carrizosa,,Not Fighting
Shonie Carter,http://ufcstats.com/fighter-details/d25e39e74efb0a77,Not Fighting
Dwayne Cason,,
Gil Castillo,,Not Fighting
Luke Caudillo,,Not Fighting
Adam Cella,http://ufcstats.com/fighter-details/25b31165758402dd,Not Fighting
Ansar Chalangov,,Not Fighting
Donnie Chappell,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Joe Charles,,Not Fighting
Albert Cheng,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,Not Fighting
Sako Chivitchian,,Not Fighting
Will Chope,,Not Fighting
Dan Christison,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Anthony Christodoulou,http://ufcstats.com/fighter-details/a77633a989013265,Not Fighting
Mike Ciesnolevicz,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Not Fighting
Laverne Clark,,Not Fighting
Logan Clark,,Not Fighting
Josh Clopton,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Brian Cobb,,Not Fighting
John Cofer,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Christian Colombo,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,Not Fighting
Wes Combs,http://ufcstats.com/fighter-details/184b955181bdef52,Not Fighting
Chris Condo,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Bob Cook,,Not Fighting
Kit Cope,,Not Fighting
Josh Copeland,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Wesley Correira,http://ufcstats.com/fighter-details/184b955181bdef52,Not Fighting
JC Cottrell,,Not Fighting
Jeff Cox,,Not Fighting
Dan Cramer,http://ufcstats.com/fighter-details/e4ba58725825412d,Not Fighting
Alberto Crane,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,Not Fighting
Paul Creighton,,Not Fighting
Richard Crunkilton,http://ufcstats.com/fighter-details/210935fd21670f6d,
Marcio Cruz,http://ufcstats.com/fighter-details/d53482bef23235ba,Not Fighting
Jay Cucciniello,,Not Fighting
Larry Cureton,,Not Fighting
Cindy Dandois,http://ufcstats.com/fighter-details/17615148dd4be6f6,Not Fighting
Alexandre Dantas,http://ufcstats.com/fighter-details/20821819c401ced8,Not Fighting
Sean Daugherty,http://ufcstats.com/fighter-details/e741536153227386,
Rick Davis,,Not Fighting
Mike Davis,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Active
Rodrigo de Lima,,Not Fighting
Edilberto de Oliveira,http://ufcstats.com/fighter-details/d26934530dc5b248,
Jorge de Oliveira,http://ufcstats.com/fighter-details/55ee431411ccf07a,Not Fighting
Tom DeBlass,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Not Fighting
Shane del Rosario,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,Not Fighting
Jason DeLucia,http://ufcstats.com/fighter-details/9bcfb40dbcd50568,Not Fighting
