EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC Fight Night: Dern vs. Ribas 2 ,Mackenzie Dern  vs. Amanda Ribas ,W/L,Women's Strawweight Bout,Submission ,3,4:56,5 Rnd (5-5-5-5-5),Mark Smith,Armbar From Mount ,http://ufcstats.com/fight-details/f46308108eb9261a
UFC Fight Night: Dern vs. Ribas 2 ,Santiago Ponzinibbio  vs. Carlston Harris ,W/L,Welterweight Bout,KO/TKO ,3,3:13,3 Rnd (5-5-5),Kerry Hatley,Punches to Head At Distance ,http://ufcstats.com/fight-details/ce4fc800a7456d18
UFC Fight Night: Dern vs. Ribas 2 ,Cesar Almeida  vs. Abdul Razak Alhassan ,W/L,Middleweight Bout,KO/TKO ,1,4:16,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/a2a5809ed8a01b45
UFC Fight Night: Dern vs. Ribas 2 ,Chris Curtis  vs. Roman Kopylov ,L/W,Middleweight Bout,KO/TKO ,3,4:59,3 Rnd (5-5-5),Mark Smith,Kick to Head At Distance ,http://ufcstats.com/fight-details/aa38e39397dbea72
UFC Fight Night: Dern vs. Ribas 2 ,Punahele Soriano  vs. Uros Medic ,W/L,Welterweight Bout,KO/TKO ,1,0:31,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/32cc31b76b32ade1
UFC Fight Night: Dern vs. Ribas 2 ,Jose Johnson  vs. Felipe Bunes ,L/W,Flyweight Bout,Submission ,1,2:04,3 Rnd (5-5-5),Kerry Hatley,Armbar On Ground ,http://ufcstats.com/fight-details/8a3281b0d7c168af
UFC Fight Night: Dern vs. Ribas 2 ,Marco Tulio  vs. Ihor Potieria ,W/L,Middleweight Bout,KO/TKO ,1,3:04,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/8d68863242695224
UFC Fight Night: Dern vs. Ribas 2 ,Thiago Moises  vs. Trey Ogden ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Sal D'amato 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/54fa6e32330a8cca
UFC Fight Night: Dern vs. Ribas 2 ,Preston Parsons  vs. Jacobe Smith ,L/W,Welterweight Bout,KO/TKO ,1,1:13,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/58eda5a58a89f739
UFC Fight Night: Dern vs. Ribas 2 ,Ernesta Kareckaite  vs. Nicolle Caliari ,W/L,Women's Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Sal D'amato 28 - 29.Mike Bell 29 - 28.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/b33e3a6d15700bb1
UFC Fight Night: Kattar vs. Ige ,Ricardo Ramos  vs. Lerone Murphy ,L/W,Featherweight Bout,KO/TKO ,1,4:18,3 Rnd (5-5-5),Rich Mitchell,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/f3efc6121c5323ff
UFC Fight Night: Kattar vs. Ige ,Modestas Bukauskas  vs. Andreas Michailidis ,W/L,Light Heavyweight Bout,KO/TKO ,1,5:00,3 Rnd (5-5-5),Daniel Movahedi,toReferee Stoppage Between Rounds,http://ufcstats.com/fight-details/0e969ae805006d1f
