EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas,Round 1,Mackenzie Dern,0,12 of 25,48%,34 of 47,1 of 1,100%,0,0,2:36,4 of 15,2 of 4,6 of 6,12 of 25,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas,Round 2,Mackenzie Dern,0,3 of 3,100%,24 of 25,0 of 1,0%,0,1,0:19,1 of 1,0 of 0,2 of 2,2 of 2,0 of 0,1 of 1
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas,Round 3,Mackenzie Dern,0,12 of 18,66%,24 of 35,0 of 1,0%,1,1,1:39,8 of 11,1 of 4,3 of 3,4 of 7,1 of 3,7 of 8
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas,Round 1,Amanda Ribas,0,10 of 33,30%,27 of 50,0 of 0,---,0,0,0:00,6 of 26,1 of 3,3 of 4,9 of 32,0 of 0,1 of 1
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas,Round 2,Amanda Ribas,0,3 of 6,50%,37 of 49,1 of 1,100%,0,0,3:31,2 of 5,0 of 0,1 of 1,1 of 4,0 of 0,2 of 2
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas,Round 3,Amanda Ribas,0,4 of 17,23%,35 of 52,1 of 1,100%,0,0,2:16,2 of 13,0 of 1,2 of 3,4 of 15,0 of 0,0 of 2
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris,Round 1,Santiago Ponzinibbio,0,22 of 48,45%,22 of 48,0 of 0,---,0,0,0:01,13 of 39,5 of 5,4 of 4,22 of 48,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris,Round 2,Santiago Ponzinibbio,0,27 of 70,38%,27 of 70,0 of 0,---,0,0,0:00,21 of 62,1 of 3,5 of 5,27 of 70,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris,Round 3,Santiago Ponzinibbio,1,27 of 57,47%,27 of 57,0 of 0,---,0,0,0:38,23 of 50,2 of 3,2 of 4,23 of 47,0 of 0,4 of 10
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris,Round 1,Carlston Harris,1,37 of 79,46%,37 of 79,0 of 2,0%,0,0,0:04,20 of 51,8 of 18,9 of 10,37 of 78,0 of 0,0 of 1
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris,Round 2,Carlston Harris,0,28 of 86,32%,28 of 86,0 of 1,0%,0,0,0:00,15 of 66,8 of 15,5 of 5,28 of 86,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris,Round 3,Carlston Harris,0,8 of 31,25%,13 of 46,0 of 2,0%,0,0,0:09,5 of 25,3 of 6,0 of 0,8 of 31,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Cesar Almeida vs. Abdul Razak Alhassan,Round 1,Cesar Almeida,1,20 of 29,68%,21 of 30,0 of 0,---,0,0,0:02,3 of 9,9 of 11,8 of 9,16 of 25,4 of 4,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Cesar Almeida vs. Abdul Razak Alhassan,Round 1,Abdul Razak Alhassan,1,17 of 33,51%,19 of 35,0 of 2,0%,0,0,1:31,13 of 29,4 of 4,0 of 0,9 of 21,4 of 5,4 of 7
UFC Fight Night: Dern vs. Ribas 2,Chris Curtis vs. Roman Kopylov,Round 1,Chris Curtis,0,42 of 83,50%,42 of 83,0 of 0,---,0,0,0:00,32 of 62,8 of 19,2 of 2,42 of 83,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Chris Curtis vs. Roman Kopylov,Round 2,Chris Curtis,0,58 of 104,55%,59 of 105,0 of 0,---,0,0,0:00,42 of 78,14 of 24,2 of 2,58 of 104,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Chris Curtis vs. Roman Kopylov,Round 3,Chris Curtis,0,42 of 74,56%,45 of 77,0 of 0,---,0,0,0:00,33 of 64,8 of 9,1 of 1,42 of 74,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Chris Curtis vs. Roman Kopylov,Round 1,Roman Kopylov,0,48 of 110,43%,48 of 110,0 of 2,0%,0,0,0:00,33 of 93,6 of 8,9 of 9,46 of 108,2 of 2,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Chris Curtis vs. Roman Kopylov,Round 2,Roman Kopylov,0,38 of 96,39%,38 of 96,0 of 0,---,0,0,0:00,25 of 83,3 of 3,10 of 10,38 of 96,0 of 0,0 of 0
UFC Fight Night: Dern vs. Ribas 2,Chris Curtis vs. Roman Kopylov,Round 3,Roman Kopylov,1,44 of 101,43%,47 of 104,1 of 4,25%,0,0,0:49,33 of 90,5 of 5,6 of 6,40 of 96,2 of 3,2 of 2
UFC Fight Night: Dern vs. Ribas 2,Punahele Soriano vs. Uros Medic,Round 1,Punahele Soriano,1,13 of 17,76%,13 of 17,0 of 0,---,0,0,0:04,12 of 16,0 of 0,1 of 1,5 of 8,0 of 0,8 of 9
UFC Fight Night: Dern vs. Ribas 2,Punahele Soriano vs. Uros Medic,Round 1,Uros Medic,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,1 of 2,1 of 1,0 of 0,2 of 3,0 of 0,0 of 0
