Event,Bout,Card Segment,URL
UFC Fight Night: Adesanya vs. Imavov,Israel Adesanya vs. Nassourdine Imavov,Main,https://www.ufc.com/event/1243#11828
UFC Fight Night: Adesanya vs. Imavov,Shara Magomedov vs. Michael Page,Main,https://www.ufc.com/event/1243#11829
UFC Fight Night: Adesanya vs. Imavov,Sergei Pavlovich vs. Jairzinho Rozenstruik,Main,https://www.ufc.com/event/1243#11860
UFC Fight Night: Adesanya vs. Imavov,Said Nurmagomedov vs. Vinicius Oliveira,Main,https://www.ufc.com/event/1243#11853
UFC Fight Night: Adesanya vs. Imavov,Fares Ziam vs. Mike Davis,Main,https://www.ufc.com/event/1243#11866
UFC Fight Night: Adesanya vs. Imavov,Muhammad Naimov vs. Kaan Ofli,Prelims1,https://www.ufc.com/event/1243#11854
UFC Fight Night: Adesanya vs. Imavov,Shamil Gaziev vs. Thomas Petersen,Prelims1,https://www.ufc.com/event/1243#11858
UFC Fight Night: Adesanya vs. Imavov,Terrance McKinney vs. Damir Hadzovic,Prelims1,https://www.ufc.com/event/1243#11855
UFC Fight Night: Adesanya vs. Imavov,Jasmine Jasudavicius vs. Mayra Bueno Silva,Prelims1,https://www.ufc.com/event/1243#11796
UFC Fight Night: Adesanya vs. Imavov,Bogdan Grad vs. Lucas Alexander,Prelims1,https://www.ufc.com/event/1243#11856
UFC Fight Night: Adesanya vs. Imavov,Hamdy Abdelwahab vs. Jamal Pogues,Prelims1,https://www.ufc.com/event/1243#11857
UFC 311: Makhachev vs. Moicano,Islam Makhachev vs. Renato Moicano,Main,https://www.ufc.com/event/1242#11894
UFC 311: Makhachev vs. Moicano,Merab Dvalishvili vs. Umar Nurmagomedov,Main,https://www.ufc.com/event/1242#11806
UFC 311: Makhachev vs. Moicano,Jiri Prochazka vs. Jamahal Hill,Main,https://www.ufc.com/event/1242#11808
UFC 311: Makhachev vs. Moicano,Jailton Almeida vs. Serghei Spivac,Main,https://www.ufc.com/event/1242#11810
UFC 311: Makhachev vs. Moicano,Kevin Holland vs. Reinier de Ridder,Main,https://www.ufc.com/event/1242#11809
UFC 311: Makhachev vs. Moicano,Payton Talbott vs. Raoni Barcelos,Prelims1,https://www.ufc.com/event/1242#11804
UFC 311: Makhachev vs. Moicano,Zachary Reese vs. Azamat Bekoev,Prelims1,https://www.ufc.com/event/1242#11888
UFC 311: Makhachev vs. Moicano,Bogdan Guskov vs. Billy Elekana,Prelims1,https://www.ufc.com/event/1242#11880
UFC 311: Makhachev vs. Moicano,Grant Dawson vs. Diego Ferreira,Prelims1,https://www.ufc.com/event/1242#11812
UFC 311: Makhachev vs. Moicano,Karol Rosa vs. Ailin Perez,Prelims2,https://www.ufc.com/event/1242#11795
UFC 311: Makhachev vs. Moicano,Rinya Nakamura vs. Muin Gafurov,Prelims2,https://www.ufc.com/event/1242#11814
UFC 311: Makhachev vs. Moicano,Ricky Turcios vs. Benardo Sopaj,Prelims2,https://www.ufc.com/event/1242#11815
UFC 311: Makhachev vs. Moicano,Tagir Ulanbekov vs. Clayton Carpenter,Prelims2,https://www.ufc.com/event/1242#11816
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas,Main,https://www.ufc.com/event/1241#11817
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris,Main,https://www.ufc.com/event/1241#11822
UFC Fight Night: Dern vs. Ribas 2,Cesar Almeida vs. Abdul Razak Alhassan,Main,https://www.ufc.com/event/1241#11800
UFC Fight Night: Dern vs. Ribas 2,Chris Curtis vs. Roman Kopylov,Main,https://www.ufc.com/event/1241#11838
UFC Fight Night: Dern vs. Ribas 2,Christian Rodriguez vs. Austin Bashi,Main,https://www.ufc.com/event/1241#11801
UFC Fight Night: Dern vs. Ribas 2,Punahele Soriano vs. Uros Medic,Main,https://www.ufc.com/event/1241#11841
UFC Fight Night: Dern vs. Ribas 2,Jose Johnson vs. Felipe Bunes,Prelims1,https://www.ufc.com/event/1241#11842
UFC Fight Night: Dern vs. Ribas 2,Marco Tulio vs. Ihor Potieria,Prelims1,https://www.ufc.com/event/1241#11837
UFC Fight Night: Dern vs. Ribas 2,Thiago Moises vs. Trey Ogden,Prelims1,https://www.ufc.com/event/1241#11839
