Event,Date,Start Time,Time Zone,Location,Venue,URL,Event ID
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,14:00,['GMT+03:00'],"Riyadh, Riyadh, Saudi Arabia",anb Arena,https://www.ufc.com/event/ufc-fight-night-February-1-2025,1243
UFC 311: Makhachev vs. Moicano,2025-01-18,23:00,['GMT-08:00'],"Inglewood, California, USA",Intuit Dome,https://www.ufc.com/event/ufc-311,1242
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,21:00,['GMT-08:00'],"Las Vegas, Nevada, USA",UFC Apex,https://www.ufc.com/event/ufc-fight-night-January-11-2025,1241
UFC Fight Night: Covington vs. Buckley,2024-12-15,00:00,['GMT-05:00'],"Tampa, Florida, USA",Amalie Arena,https://www.ufc.com/event/ufc-fight-night-December-15-2024,1238
UFC 310: Pantoja vs. Asakura,2024-12-07,23:00,['GMT-08:00'],"Las Vegas, Nevada, USA",T-Mobile Arena,https://www.ufc.com/event/ufc-310,1237
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,08:00,['GMT+08:00'],"Macau, , China",Galaxy Arena,https://www.ufc.com/event/ufc-fight-night-November-23-2024,1236
UFC 309: Jones vs. Miocic,2024-11-16,23:00,['GMT-05:00'],"New York City, New York, USA",Madison Square Garden,https://www.ufc.com/event/ufc-309,1235
UFC Fight Night: Magny vs. Prates,2024-11-09,21:00,['GMT-08:00'],"Las Vegas, Nevada, USA",UFC Apex,https://www.ufc.com/event/ufc-fight-night-November-9-2024,1229
UFC Fight Night: Moreno vs. Albazi,2024-11-02,21:00,['GMT-06:00'],"Edmonton, Alberta, Canada",Rogers Place,https://www.ufc.com/event/ufc-fight-night-November-2-2024,1224
UFC 308: Topuria vs. Holloway,2024-10-26,14:00,['GMT+04:00'],"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,https://www.ufc.com/event/ufc-308,1223
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,20:00,['GMT-07:00'],"Las Vegas, Nevada, USA",UFC Apex,https://www.ufc.com/event/ufc-fight-night-October-19-2024,1230
UFC Fight Night: Royval vs. Taira,2024-10-12,20:00,['GMT-07:00'],"Las Vegas, Nevada, USA",UFC Apex,https://www.ufc.com/event/ufc-fight-night-October-12-2024,1231
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,22:30,['GMT-06:00'],"Salt Lake City, Utah, USA",Delta Center,https://www.ufc.com/event/ufc-307,1225
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,16:00,['GMT+02:00'],"Paris, Ile-de-France, France",Accor Arena,https://www.ufc.com/event/ufc-fight-night-September-28-2024,1213
UFC 306: Riyadh Season Noche UFC,2024-09-14,23:30,['GMT-07:00'],"Las Vegas, Nevada, USA",Sphere,https://www.ufc.com/event/riyadh-season-noche-ufc,1221
