Event,Date,Location,Bout,Card Segment,Winner,Method,Ending Round,Ending Time,Referee
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Israel Adesanya vs. Nassourdine Imavov,Main,Unknown,KO/TKO,2,0:30,Marc Goddard
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Shara Magomedov vs. Michael Page,Main,Unknown,Decision - Unanimous,3,5:00,Jason Herzog
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Sergei Pavlovich vs. Jairzinho Rozenstruik,Main,Unknown,Decision - Unanimous,3,5:00,Mark Smith
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Said Nurmagomedov vs. Vinicius Oliveira,Main,Unknown,Decision - Unanimous,3,5:00,Kerry Hatley
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Fares Ziam vs. Mike Davis,Main,Unknown,Decision - Unanimous,3,5:00,Chris Tognoni
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Muhammad Naimov vs. Kaan Ofli,Prelims1,Unknown,Decision - Unanimous,3,5:00,Marc Goddard
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Shamil Gaziev vs. Thomas Petersen,Prelims1,Unknown,KO/TKO,1,3:12,Jason Herzog
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Terrance McKinney vs. Damir Hadzovic,Prelims1,Unknown,KO/TKO,1,2:01,Jason Herzog
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Jasmine Jasudavicius vs. Mayra Bueno Silva,Prelims1,Unknown,Decision - Unanimous,3,5:00,Mark Smith
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Bogdan Grad vs. Lucas Alexander,Prelims1,Unknown,KO/TKO,2,4:22,Kerry Hatley
UFC Fight Night: Adesanya vs. Imavov,2025-02-01T14:00Z,Riyadh,Hamdy Abdelwahab vs. Jamal Pogues,Prelims1,Unknown,Decision - Split,3,5:00,Chris Tognoni
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Islam Makhachev vs. Renato Moicano,Main,Unknown,Submission,1,4:05,Herb Dean
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Merab Dvalishvili vs. Umar Nurmagomedov,Main,Unknown,Decision - Unanimous,5,5:00,Jason Herzog
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Jiri Prochazka vs. Jamahal Hill,Main,Unknown,KO/TKO,3,3:01,Mike Beltran
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Jailton Almeida vs. Serghei Spivac,Main,Unknown,KO/TKO,1,4:53,Jason Herzog
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Kevin Holland vs. Reinier de Ridder,Main,Unknown,Submission,1,3:31,Frank Trigg
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Payton Talbott vs. Raoni Barcelos,Prelims1,Unknown,Decision - Unanimous,3,5:00,Herb Dean
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Zachary Reese vs. Azamat Bekoev,Prelims1,Unknown,KO/TKO,1,3:04,Blake Grice
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Bogdan Guskov vs. Billy Elekana,Prelims1,Unknown,Submission,2,3:33,Mike Beltran
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Grant Dawson vs. Diego Ferreira,Prelims1,Unknown,Decision - Unanimous,3,5:00,Frank Trigg
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Karol Rosa vs. Ailin Perez,Prelims2,Unknown,Decision - Unanimous,3,5:00,Mike Beltran
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Rinya Nakamura vs. Muin Gafurov,Prelims2,Unknown,Decision - Unanimous,3,5:00,Jason Herzog
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Ricky Turcios vs. Benardo Sopaj,Prelims2,Unknown,Decision - Unanimous,3,5:00,Frank Trigg
UFC 311: Makhachev vs. Moicano,2025-01-18T23:00Z,Inglewood,Tagir Ulanbekov vs. Clayton Carpenter,Prelims2,Unknown,Decision - Unanimous,3,5:00,Blake Grice
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Mackenzie Dern vs. Amanda Ribas,Main,Unknown,Submission,3,4:56,Mark Smith
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Santiago Ponzinibbio vs. Carlston Harris,Main,Unknown,KO/TKO,3,3:13,Kerry Hatley
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Cesar Almeida vs. Abdul Razak Alhassan,Main,Unknown,KO/TKO,1,4:16,Mike Beltran
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Chris Curtis vs. Roman Kopylov,Main,Unknown,KO/TKO,3,4:59,Mark Smith
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Christian Rodriguez vs. Austin Bashi,Main,Unknown,Decision - Unanimous,3,5:00,Chris Tognoni
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Punahele Soriano vs. Uros Medic,Main,Unknown,KO/TKO,1,0:31,Mike Beltran
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Jose Johnson vs. Felipe Bunes,Prelims1,Unknown,Submission,1,2:04,Kerry Hatley
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Marco Tulio vs. Ihor Potieria,Prelims1,Unknown,KO/TKO,1,3:04,Mark Smith
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Thiago Moises vs. Trey Ogden,Prelims1,Unknown,Decision - Unanimous,3,5:00,Chris Tognoni
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Preston Parsons vs. Jacobe Smith,Prelims1,Unknown,KO/TKO,1,1:13,Mike Beltran
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Ernesta Kareckaite vs. Nicolle Caliari,Prelims1,Unknown,Decision - Split,3,5:00,Kerry Hatley
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Magomed Gadzhiyasulov vs. Bruno Lopes,Prelims1,Unknown,Decision - Unanimous,3,5:00,Mark Smith
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Fatima Kline vs. Viktoriia Dudakova,Prelims1,Unknown,KO/TKO,2,4:27,Chris Tognoni
UFC Fight Night: Dern vs. Ribas 2,2025-01-11T21:00Z,Las Vegas,Nurullo Aliev vs. Joe Solecki,Prelims1,Unknown,Decision - Unanimous,3,5:00,Kerry Hatley
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Colby Covington vs. Joaquin Buckley,Main,Unknown,TKO - Doctor's Stoppage,3,4:42,Dan Miragliotta
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Cub Swanson vs. Billy Quarantillo,Main,Unknown,KO/TKO,3,1:36,Jason Herzog
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Manel Kape vs. Bruno Silva,Main,Unknown,KO/TKO,3,1:57,Keith Peterson
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Vitor Petrino vs. Dustin Jacoby,Main,Unknown,KO/TKO,3,3:44,Andrew Glenn
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Adrian Yanez vs. Daniel Marcos,Main,Unknown,Decision - Split,3,5:00,Keith Peterson
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Navajo Stirling vs. Tuco Tokkos,Main,Unknown,Decision - Unanimous,3,5:00,Dan Miragliotta
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Michael Johnson vs. Ottman Azaitar,Prelims1,Unknown,KO/TKO,2,2:03,Jason Herzog
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Joel Alvarez vs. Drakkar Klose,Prelims1,Unknown,KO/TKO,1,2:48,Dan Miragliotta
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Sean Woodson vs. Fernando Padilla,Prelims1,Unknown,KO/TKO,1,4:58,Andrew Glenn
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Miles Johns vs. Felipe Lima,Prelims1,Unknown,Decision - Unanimous,3,5:00,Jason Herzog
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Miranda Maverick vs. Jamey-Lyn Horth,Prelims1,Unknown,Decision - Unanimous,3,5:00,Andrew Glenn
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Davey Grant vs. Ramon Taveras,Prelims1,Unknown,Decision - Unanimous,3,5:00,Keith Peterson
UFC Fight Night: Covington vs. Buckley,2024-12-15T00:00Z,Tampa,Josefine Knutsson vs. Piera Rodriguez,Prelims1,Unknown,Decision - Unanimous,3,5:00,Jason Herzog
UFC 310: Pantoja vs. Asakura,2024-12-07T23:00Z,Las Vegas,Alexandre Pantoja vs. Kai Asakura,Main,Unknown,Submission,2,2:05,Jason Herzog
UFC 310: Pantoja vs. Asakura,2024-12-07T23:00Z,Las Vegas,Shavkat Rakhmonov vs. Ian Machado Garry,Main,Unknown,Decision - Unanimous,5,5:00,Marc Goddard
UFC 310: Pantoja vs. Asakura,2024-12-07T23:00Z,Las Vegas,Ciryl Gane vs. Alexander Volkov,Main,Unknown,Decision - Split,3,5:00,Mark Smith
UFC 310: Pantoja vs. Asakura,2024-12-07T23:00Z,Las Vegas,Bryce Mitchell vs. Kron Gracie,Main,Unknown,KO/TKO,3,0:39,Keith Peterson
