FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,UFC_URL,MMADECISIONS_URL
Danny Abbadi,"71.00""",156.00 lbs.,,,,http://ufcstats.com/fighter-details/15df64c02b6b0fde,
David Abbott,,,,,,http://ufcstats.com/fighter-details/b361180739bed4b0,
Papy Abedi,"71.00""",184.50 lbs.,"74.00""",,,http://ufcstats.com/fighter-details/c0ed7b208197e8de,
Ricardo Abreu,"71.00""",183.00 lbs.,"73.00""",,,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,
Scott Adams,"72.00""",225.00 lbs.,,,,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Sam Adkins,"72.00""",205.00 lbs.,,,,http://ufcstats.com/fighter-details/0e9869d712e81f8f,
Nick Agallar,"67.00""",155.00 lbs.,,,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,
Marcelo Aguiar,,,,,,http://ufcstats.com/fighter-details/44aa652b181bcf68,
Razak Al-Hassan,"74.00""",205.00 lbs.,,,,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,
Wes Albritton,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/184b955181bdef52,
Alfonso Alcarez,"75.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/1e38bba6738b7b10,
Gilbert Aldana,"74.00""",251.00 lbs.,,,,http://ufcstats.com/fighter-details/d26934530dc5b248,
Royce Alger,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/669a3cb6e394f515,
George Allen,,,,,,http://ufcstats.com/fighter-details/1e13936d708bcff7,
Ericka Almeida,"66.00""",115.00 lbs.,"68.00""",,,http://ufcstats.com/fighter-details/91186547a7f3f758,
Sean Alvarez,"72.00""",229.00 lbs.,,,,http://ufcstats.com/fighter-details/e741536153227386,
Amilcar Alves,,,,,,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,
Matt Andersen,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/cad24459b28592ca,
Andy Anderson,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/cad24459b28592ca,
Lowell Anderson,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/cad24459b28592ca,
Alex Andrade,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/1562b12763cc8d67,
Jermaine Andre,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/20821819c401ced8,
Reese Andy,"70.00""",206.00 lbs.,,,,http://ufcstats.com/fighter-details/9199e0735b83dd32,
Yoji Anjo,"71.00""",189.00 lbs.,,,,http://ufcstats.com/fighter-details/e06fd1260ac865a7,
Azunna Anyanwu,,,,,,http://ufcstats.com/fighter-details/78d48d3874dacafd,
Romie Aram,"69.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,
Cesar Arzamendia,"71.00""",155.00 lbs.,"71.00""",,,http://ufcstats.com/fighter-details/64d47ef881a437a4,
Khusein Askhabov,"68.00""",146.00 lbs.,"69.00""",,,http://ufcstats.com/fighter-details/5c10da56d712ac9c,
Ibo Aslan,"75.00""",205.00 lbs.,"77.50""",,,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,
Pat Audinwood,"72.00""",156.00 lbs.,,,,http://ufcstats.com/fighter-details/196ed28337adc630,
Chris Avila,"70.00""",146.00 lbs.,"72.00""",,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Niklas Backstrom,"73.00""",146.00 lbs.,"74.00""",,,,
Izabela Badurek,"64.00""",115.60 lbs.,"65.00""",,,http://ufcstats.com/fighter-details/c0ed7b208197e8de,
Mehdi Baghdad,"73.00""",155.50 lbs.,"75.00""",,,,
Scott Baker,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Marcin Bandel,"70.00""",154.00 lbs.,"70.00""",,,http://ufcstats.com/fighter-details/d53482bef23235ba,
David Baron,"66.00""",155.00 lbs.,,,,http://ufcstats.com/fighter-details/b361180739bed4b0,
Dan Barrera,"69.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/e4ba58725825412d,
Carlos Barreto,,,,,,,
Alexandre Barros,"69.00""",185.00 lbs.,,,,http://ufcstats.com/fighter-details/20821819c401ced8,
Dean Barry,"70.00""",170.50 lbs.,"72.00""",,,,
Stephen Bass,"69.00""",145.00 lbs.,,,,,
Shayna Baszler,"67.00""",136.00 lbs.,"67.00""",,,,
Michel Batista,"75.00""",262.50 lbs.,,,,http://ufcstats.com/fighter-details/01c9e4013afce141,
Dave Beneteau,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,
Steve Berger,"71.00""",169.00 lbs.,,,,,
Keith Berish,"72.00""",184.60 lbs.,"73.50""",,,,
Dave Berry,"0.00""",0.00 lbs.,,,,,
Dieusel Berto,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,
Allen Berube,"68.00""",153.00 lbs.,,,,http://ufcstats.com/fighter-details/1e13936d708bcff7,
Scott Bessac,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Amaury Bitetti,"0.00""",0.00 lbs.,,,,,
Jason Black,"68.00""",156.00 lbs.,,,,,
Tom Blackledge,"75.00""",205.00 lbs.,,,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,
Byron Bloodworth,"68.00""",136.00 lbs.,,,,,
Dan Bobish,,,,,,http://ufcstats.com/fighter-details/e4ba58725825412d,
Jerry Bohlander,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/cad24459b28592ca,
Jesse Bongfeldt,"72.00""",185.00 lbs.,,,,,
Marcus Bossett,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/04643fd03d9159cc,
Tai Bowden,"0.00""",0.00 lbs.,,,,,
Melton Bowen,"0.00""",0.00 lbs.,,,,,
Paul Bradley,"69.00""",170.00 lbs.,,,,,
Ebenezer Fontes Braga,,,,,,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,
Joe Brammer,"68.00""",156.00 lbs.,,,,,
Chris Brennan,"68.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Aaron Brink,"75.00""",231.00 lbs.,,,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,
Todd Brown,"71.00""",205.00 lbs.,,,,,
Humberto Brown Morrison,,,,,,,
Junie Browning,"69.00""",156.00 lbs.,,,,,
Jules Bruchez,"72.00""",205.00 lbs.,,,,,
Steve Bruno,"70.00""",171.00 lbs.,,,,http://ufcstats.com/fighter-details/ff222167cce02919,
Fernando Bruno,,,,,,http://ufcstats.com/fighter-details/17615148dd4be6f6,
Josh Bryant,"70.00""",185.00 lbs.,,,,http://ufcstats.com/fighter-details/0c1a04afca64e38f,
Mikey Burnett,"66.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Nah-Shon Burrell,"71.00""",171.00 lbs.,"76.00""",,,,
Bubba Bush,"72.00""",185.00 lbs.,"73.00""",,,,
Murilo Bustamante,"73.00""",183.00 lbs.,,,,,
Todd Butler,"0.00""",0.00 lbs.,,,,,
Steve Byrnes,"72.00""",186.00 lbs.,,,,,
John Campetella,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Wagner Campos,"66.00""",145.00 lbs.,,,,,
Asbel Cancio,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/1c5879330d42255f,
Frank Caracci,"0.00""",0.00 lbs.,,,,,
Rafael Carino,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/029afd138865d20a,
Cain Carrizosa,"68.00""",155.00 lbs.,"74.00""",,,,
Shonie Carter,"69.00""",171.00 lbs.,,,,http://ufcstats.com/fighter-details/d25e39e74efb0a77,
Dwayne Cason,,,,,,,
Gil Castillo,"69.00""",170.00 lbs.,,,,,
Luke Caudillo,"67.00""",156.00 lbs.,,,,,
Adam Cella,"74.00""",184.00 lbs.,,,,http://ufcstats.com/fighter-details/25b31165758402dd,
Ansar Chalangov,"71.00""",170.00 lbs.,,,,,
Donnie Chappell,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/0c1a04afca64e38f,
Joe Charles,"0.00""",0.00 lbs.,,,,,
Albert Cheng,"71.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,
Sako Chivitchian,"71.00""",156.00 lbs.,,,,,
Will Chope,"76.00""",146.00 lbs.,"76.00""",,,,
Dan Christison,"80.00""",265.00 lbs.,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
