EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC Fight Night: Kattar vs. Emmett ,Joaquin Buckley  vs. Albert Duraev ,W/L,Middleweight Bout,TKO - Doctor's Stoppage ,2,5:00,3 Rnd (5-5-5),Jacob Montalvo,,http://ufcstats.com/fight-details/11e83902f5b8ff63
UFC Fight Night: Maia vs. Usman ,Zak Cummings  vs. Michel Prazeres ,L/W,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),,Fabio Alves 28 - 29.Chris Lee 29 - 28.Marcelo Vilhena 28 - 29.,http://ufcstats.com/fight-details/df0d4130944776d9
UFC Fight Night: Maia vs. Usman ,Henry Briones  vs. Frankie Saenz ,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Richard Bertrand 27 - 30.Sal D'amato 27 - 30.Fabio Alves 26 - 30.,http://ufcstats.com/fight-details/e6fdf9e67f84a0e0
UFC 224: Nunes vs. Pennington ,Warlley Alves  vs. Sultan Aliev ,W/L,Welterweight Bout,TKO - Doctor's Stoppage ,2,5:00,3 Rnd (5-5-5),Osiris Maia,,http://ufcstats.com/fight-details/25da6035f591c245
UFC Fight Night: Barboza vs. Lee ,Edson Barboza  vs. Kevin Lee ,L/W,Lightweight Bout,TKO - Doctor's Stoppage ,5,2:18,5 Rnd (5-5-5-5-5),Keith Peterson,,http://ufcstats.com/fight-details/dbb0ca0198ac514a
UFC Fight Night: Poirier vs. Gaethje ,Shana Dobson  vs. Lauren Mueller ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Chris Flores 28 - 29.Derek Cleary 28 - 29.Dave Hagen 28 - 29.,http://ufcstats.com/fight-details/85060e6e71ed14e4
UFC 309: Jones vs. Miocic ,Marcin Tybura  vs. Jhonata Diniz ,W/L,Heavyweight Bout,TKO - Doctor's Stoppage ,2,5:00,3 Rnd (5-5-5),Herb Dean,,http://ufcstats.com/fight-details/6c1faa6284428e5d
UFC Fight Night: Royval vs. Taira ,Brad Tavares  vs. JunYong Park ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),,Junichiro Kamijo 29 - 28.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/6fa2dae90bda4742
UFC Fight Night: Moicano vs. Saint Denis ,Renato Moicano  vs. Benoit Saint Denis ,W/L,Lightweight Bout,TKO - Doctor's Stoppage ,2,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,,http://ufcstats.com/fight-details/7ca4c91bab696b89
UFC 303: Pereira vs. Prochazka 2 ,Dan Ige  vs. Diego Lopes ,L/W,Catch Weight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Mike Bell 28 - 29.Eric Colon 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/fc8ad0c7fc70dde7
UFC Fight Night: Andrade vs. Blanchfield ,Nazim Sadykhov  vs. Evan Elder ,W/L,Lightweight Bout,TKO - Doctor's Stoppage ,3,0:38,3 Rnd (5-5-5),Mark Smith,,http://ufcstats.com/fight-details/d45d9c7d60f332da
UFC 264: Poirier vs. McGregor 3 ,Dustin Poirier  vs. Conor McGregor ,W/L,Lightweight Bout,TKO - Doctor's Stoppage ,1,5:00,5 Rnd (5-5-5-5-5),Herb Dean,,http://ufcstats.com/fight-details/7d0ce28ce8a77eb1
UFC Fight Night: Munhoz vs. Edgar ,Ike Villanueva  vs. Jordan Wright ,L/W,Light Heavyweight Bout,TKO - Doctor's Stoppage ,1,1:31,3 Rnd (5-5-5),Jason Herzog,,http://ufcstats.com/fight-details/0ccc86f7d0e84c3e
UFC Fight Night: Blaydes vs. Volkov ,Austin Hubbard  vs. Max Rohskopf ,W/L,Lightweight Bout,TKO - Doctor's Stoppage ,2,5:00,3 Rnd (5-5-5),Mark Smith,,http://ufcstats.com/fight-details/d333a6c34ff16397
UFC 249: Ferguson vs. Gaethje ,Vicente Luque  vs. Niko Price ,W/L,Welterweight Bout,TKO - Doctor's Stoppage ,3,3:37,3 Rnd (5-5-5),Jason Herzog,,http://ufcstats.com/fight-details/3f810c3433dddb80
UFC Fight Night: Rodriguez vs. Stephens ,Ariane Carnelossi  vs. Angela Hill ,L/W,Women's Strawweight Bout,TKO - Doctor's Stoppage ,3,1:56,3 Rnd (5-5-5),Fernando Salas Navarro,,http://ufcstats.com/fight-details/52311c2cd0c84d67
UFC 242: Khabib vs. Poirier ,Omari Akhmedov  vs. Zak Cummings ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Howie Booth 27 - 30.Pawel Harasim 28 - 29.Maria Makhmutova 28 - 29.,http://ufcstats.com/fight-details/9a46f95c1c1e57f0
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Rogerio Bontorin  vs. Raulian Paiva ,W/L,Flyweight Bout,TKO - Doctor's Stoppage ,1,2:56,3 Rnd (5-5-5),Osiris Maia,,http://ufcstats.com/fight-details/cb4dd24535ef2d94
