EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Adesanya vs. Imavov,Israel Adesanya vs. Nassourdine Imavov,Round 2,Israel Adesanya,0.0,6 of 6,100%,6 of 6,0 of 0,,0.0,0.0,0:00,1 of 1,3 of 3,2 of 2,6 of 6,0 of 0,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Israel Adesanya vs. Nassourdine Imavov,Round 2,Nassourdine Imavov,1.0,7 of 10,70%,8 of 11,0 of 0,,0.0,0.0,0:04,6 of 8,0 of 1,1 of 1,2 of 4,0 of 0,5 of 6
UFC Fight Night: Adesanya vs. Imavov,Shara Magomedov vs. Michael Page,Round 1,Shara Magomedov,0.0,9 of 25,36%,9 of 25,0 of 0,,0.0,0.0,0:00,1 of 10,2 of 3,6 of 12,9 of 24,0 of 1,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Shara Magomedov vs. Michael Page,Round 2,Shara Magomedov,0.0,7 of 30,23%,9 of 32,0 of 0,,0.0,0.0,0:00,0 of 18,5 of 7,2 of 5,7 of 30,0 of 0,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Shara Magomedov vs. Michael Page,Round 3,Shara Magomedov,0.0,22 of 32,68%,32 of 45,0 of 0,,0.0,0.0,0:40,7 of 14,10 of 10,5 of 8,18 of 28,4 of 4,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Shara Magomedov vs. Michael Page,Round 2,Michael Page,0.0,14 of 25,56%,15 of 26,0 of 0,,0.0,0.0,0:34,5 of 16,6 of 6,3 of 3,13 of 24,1 of 1,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Shara Magomedov vs. Michael Page,Round 3,Michael Page,0.0,16 of 29,55%,19 of 34,0 of 0,,0.0,0.0,0:00,11 of 23,4 of 4,1 of 2,12 of 24,4 of 5,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Sergei Pavlovich vs. Jairzinho Rozenstruik,Round 1,Sergei Pavlovich,0.0,11 of 23,47%,32 of 51,0 of 0,,0.0,0.0,1:09,9 of 21,0 of 0,2 of 2,11 of 23,0 of 0,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Sergei Pavlovich vs. Jairzinho Rozenstruik,Round 1,Jairzinho Rozenstruik,0.0,7 of 15,46%,9 of 18,0 of 0,,0.0,0.0,0:00,0 of 8,2 of 2,5 of 5,7 of 15,0 of 0,0 of 0
UFC Fight Night: Adesanya vs. Imavov,Sergei Pavlovich vs. Jairzinho Rozenstruik,Round 2,Jairzinho Rozenstruik,0.0,6 of 17,35%,8 of 19,0 of 0,,0.0,0.0,0:00,3 of 13,1 of 1,2 of 3,6 of 17,0 of 0,0 of 0
