FIRST,LAST,NICKNAME,URL
Tom,Aaron,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Mansur,Abdul-Malik,,http://ufcstats.com/fighter-details/841695e02c99a521
Daichi,Abe,,http://ufcstats.com/fighter-details/5140122c3eecd307
Cyborg,Abreu,,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel,Acacio,,http://ufcstats.com/fighter-details/1c5879330d42255f
Scott,Adams,,http://ufcstats.com/fighter-details/2620f3eb21c79614
Mohamed,Ado,,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick,Agallar,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Marcelo,Aguiar,,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio,Aguiar,,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Jesus,Aguilar,,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Yoshihiro,Akiyama,,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem,Akman,,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak,Al-Hassan,,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Mostapha,Al-Turk,,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem,Alacabek,,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi,Alanis,,http://ufcstats.com/fighter-details/2144954270be834d
,Alatengheili,The Mongolian Knight,http://ufcstats.com/fighter-details/1897b7b913736a7c
Brett,Albee,,http://ufcstats.com/fighter-details/9b28292abe3166d5
Wes,Albritton,,http://ufcstats.com/fighter-details/184b955181bdef52
Israel,Albuquerque,,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan,Alcain,,http://ufcstats.com/fighter-details/39f62b833e4cf126
Alfonso,Alcarez,,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Irene,Aldana,,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector,Aldana,,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose,Aldo,,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ,Aldrich,,http://ufcstats.com/fighter-details/6fd953151d981979
Olaf,Alfonso,,http://ufcstats.com/fighter-details/b757c73f443d4fca
Levi,Alford,,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Royce,Alger,,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir,Aliakbari,,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan,Aliev,,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Ikram,Aliskerov,,http://ufcstats.com/fighter-details/b07aed698fba8624
John,Allan,,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George,Allen,,http://ufcstats.com/fighter-details/1e13936d708bcff7
Daniel,Allen,,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Magno,Almeida,,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Ericka,Almeida,,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani,Almeida,,http://ufcstats.com/fighter-details/f16ddfa31236efed
Lucas,Almeida,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Mauricio,Alonso,,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Rico,Altamirano,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Mike,Altman,,http://ufcstats.com/fighter-details/c11036da9162cb5f
Sean,Alvarez,,http://ufcstats.com/fighter-details/e741536153227386
