FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Colby Thicknesse,,135 lbs.,,,"Jun 23, 1999",http://ufcstats.com/fighter-details/ed7d329d7c29428d
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,"Jul 17, 1978",http://ufcstats.com/fighter-details/05fbfe628658c538
Tom Aaron,,155 lbs.,,,"Jul 13, 1978",http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,"Jul 03, 1983",http://ufcstats.com/fighter-details/15df64c02b6b0fde
David Abbott,"6' 0""",265 lbs.,,Switch,,http://ufcstats.com/fighter-details/b361180739bed4b0
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,"Jun 30, 1978",http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,"Apr 27, 1984",http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Cyborg Abreu,,,,,"Dec 20, 1980",http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,"Dec 27, 1977",http://ufcstats.com/fighter-details/1c5879330d42255f
Scott Adams,"6' 0""",225 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/2620f3eb21c79614
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,"Apr 26, 1965",http://ufcstats.com/fighter-details/0e9869d712e81f8f
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,"Jan 13, 1979",http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Kantharaj Agasa,,135 lbs.,,,"Feb 16, 1992",http://ufcstats.com/fighter-details/26f4288e83188c61
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio Aguiar,"6' 0""",185 lbs.,,,"Feb 10, 1988",http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin Aguilar,"5' 10""",185 lbs.,,,,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Mike Aina,"5' 9""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,"Jul 27, 1974",http://ufcstats.com/fighter-details/2eada40ac8801559
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,"May 14, 1982",http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Javi Alanis,"5' 6""",135 lbs.,,,,http://ufcstats.com/fighter-details/2144954270be834d
Brett Albee,,225 lbs.,,,,http://ufcstats.com/fighter-details/9b28292abe3166d5
Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/184b955181bdef52
Israel Albuquerque,,185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan Alcain,,,,,,http://ufcstats.com/fighter-details/39f62b833e4cf126
Alfonso Alcarez,"5' 3""",145 lbs.,,,"Jun 10, 1970",http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,"Aug 25, 1977",http://ufcstats.com/fighter-details/d26934530dc5b248
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,"Sep 25, 1977",http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,"Aug 06, 1974",http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo Alfonso,"5' 8""",145 lbs.,,,"May 09, 1983",http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi Alford,,,,,,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Royce Alger,"5' 10""",199 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir Aliakbari,"6' 3""",250 lbs.,,,"Jun 10, 1984",http://ufcstats.com/fighter-details/e17770faae3ca54c
George Allen,"6' 2""",205 lbs.,,Open Stance,"Jan 13, 1967",http://ufcstats.com/fighter-details/1e13936d708bcff7
Magno Almeida,"6' 0""",155 lbs.,,,"Jun 06, 1985",http://ufcstats.com/fighter-details/d615d6a10a4704cd
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,"Mar 05, 1989",http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,"Oct 17, 1988",http://ufcstats.com/fighter-details/f16ddfa31236efed
Mauricio Alonso,"6' 2""",170 lbs.,,,"Feb 27, 1980",http://ufcstats.com/fighter-details/c6bf75775b278ed8
Rico Altamirano,"5' 10""",170 lbs.,,,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c11036da9162cb5f
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,"Jul 14, 1971",http://ufcstats.com/fighter-details/e741536153227386
Anthony Alves,,,,,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988",http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Andre Amado,"6' 0""",154 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/20821819c401ced8
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,"Jul 11, 1987",http://ufcstats.com/fighter-details/247fbbfafea60bb1
