Event,Date,Start Time,Time Zone,Location,Venue,URL
UFC Fight Night,,,,,,
UFC Fight Night: Edwards vs. Della Maddalena,,,GMT+00:00,,,
UFC Fight Night: Vettori vs. Dolidze,,,GMT-07:00,,,
UFC 313: Pereira vs. Ankalaev,,,GMT-08:00,,,
UFC Fight Night: Royval vs. Kape,,,GMT-08:00,,,
UFC Fight Night: Cejudo vs. Song,,,GMT-08:00,,,
UFC Fight Night: Cannonier vs. Rodrigues,,,GMT-08:00,,,
UFC 312: Du Plessis vs. Strickland 2,,,GMT+11:00,,,
UFC Fight Night: Adesanya vs. Imavov,,,GMT+03:00,,,
UFC 311: Makhachev vs. Moicano,,,GMT-08:00,,,
UFC Fight Night: Dern vs. Ribas 2,,,GMT-08:00,,,
UFC Fight Night: Covington vs. Buckley,,,GMT-05:00,,,
UFC 310: Pantoja vs. Asakura,,,GMT-08:00,,,
UFC Fight Night: Yan vs. Figueiredo,,,GMT+08:00,,,
UFC 309: Jones vs. Miocic,,,GMT-05:00,,,
UFC Fight Night: Magny vs. Prates,,,GMT-08:00,,,
UFC Fight Night: Moreno vs. Albazi,,,GMT-06:00,,,
UFC 308: Topuria vs. Holloway,,,GMT+04:00,,,
UFC Fight Night: Hernandez vs. Pereira,,,GMT-07:00,,,
UFC Fight Night: Royval vs. Taira,,,GMT-07:00,,,
UFC 307: Pereira vs. Rountree Jr.,,,GMT-06:00,,,
UFC Fight Night: Moicano vs. Saint Denis,,,GMT+02:00,,,
UFC 306: Riyadh Season Noche UFC,,,GMT-07:00,,,
UFC Fight Night: Burns vs. Brady,,,GMT-07:00,,,
UFC Fight Night: Cannonier vs. Borralho,,,GMT-07:00,,,
UFC 305: Du Plessis vs. Adesanya,,,GMT+08:00,,,
UFC Fight Night: Tybura vs. Spivac 2,,,GMT-07:00,,,
UFC Fight Night: Sandhagen vs. Nurmagomedov,,,GMT+04:00,,,
UFC 304: Edwards vs. Muhammad 2,,,GMT+01:00,,,
UFC Fight Night: Lemos vs. Jandiroba,,,GMT-07:00,,,
UFC Fight Night: Namajunas vs. Cortez,,,GMT-06:00,,,
UFC 303: Pereira vs. Prochazka 2,,,GMT-07:00,,,
UFC Fight Night: Whittaker vs. Aliskerov,,,GMT+03:00,,,
UFC Fight Night: Perez vs. Taira,,,GMT-07:00,,,
UFC Fight Night: Cannonier vs. Imavov,,,GMT-04:00,,,
UFC 302: Makhachev vs. Poirier,,,GMT-04:00,,,
UFC Fight Night: Barboza vs. Murphy,,,GMT-07:00,,,
UFC Fight Night: Lewis vs. Nascimento,,,GMT-05:00,,,
UFC 301: Pantoja vs. Erceg,,,GMT-03:00,,,
UFC Fight Night: Nicolau vs. Perez,,,GMT-07:00,,,
UFC 300: Pereira vs. Hill,,,GMT-07:00,,,
UFC Fight Night: Allen vs. Curtis 2,,,GMT-07:00,,,
UFC Fight Night: Blanchfield vs. Fiorot,,,GMT-04:00,,,
UFC Fight Night: Ribas vs. Namajunas,,,GMT-07:00,,,
UFC Fight Night: Tuivasa vs. Tybura,,,GMT-07:00,,,
UFC 299: O'Malley vs. Vera 2,,,GMT-05:00,,,
UFC Fight Night: Rozenstruik vs. Gaziev,,,GMT-08:00,,,
UFC Fight Night: Moreno vs. Royval 2,,,GMT-06:00,,,
UFC 298: Volkanovski vs. Topuria,,,GMT-08:00,,,
UFC Fight Night: Hermansson vs. Pyfer,,,GMT-08:00,,,
