Event,Date,Location,Bout,Card Segment,Winner,Method,Ending Round,Ending Time,Referee,Fight URL
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11895
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11820
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11821
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11824
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11825
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11826
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11827
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11889
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11890
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11891
UFC Fight Night: Edwards vs. Della Maddalena,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1240#Fight-11892
UFC Fight Night: Vettori vs. Dolidze,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1244#Fight-11918
UFC Fight Night: Vettori vs. Dolidze,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1244#Fight-11836
UFC 313: Pereira vs. Ankalaev,,,,Main,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11896
UFC 313: Pereira vs. Ankalaev,,,,Main,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11897
UFC 313: Pereira vs. Ankalaev,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11900
UFC 313: Pereira vs. Ankalaev,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11901
UFC 313: Pereira vs. Ankalaev,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11902
UFC 313: Pereira vs. Ankalaev,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11903
UFC 313: Pereira vs. Ankalaev,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11904
UFC 313: Pereira vs. Ankalaev,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11905
UFC 313: Pereira vs. Ankalaev,,,,,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1249#Fight-11906
UFC Fight Night: Royval vs. Kape,,,,Main,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1248#Fight-11852
UFC Fight Night: Royval vs. Kape,,,,Main,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1248#Fight-11908
UFC Fight Night: Royval vs. Kape,,,,Main,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1248#Fight-11877
UFC Fight Night: Royval vs. Kape,,,,Main,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1248#Fight-11916
UFC Fight Night: Royval vs. Kape,,,,Main,Unknown,Unknown,Unknown,Unknown,"{'RefereeId': None, 'FirstName': None, 'LastName': None}",https://www.ufc.com/event/1248#Fight-11911
